Info 0    [18:28:54.851] Starting TS Server
Info 37   [18:32:01.510] Different program with same set of files:: structureIsReused:: 2
Info 38   [18:32:08.708] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [18:32:08.713] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 4.75409996509552ms
Info 40   [18:32:08.713] Different program with same set of files:: structureIsReused:: 2
Info 41   [18:32:08.714] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [18:32:08.718] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 3.4591000080108643ms
Info 43   [18:32:08.718] Different program with same set of files:: structureIsReused:: 2
Info 44   [18:32:08.812] getCompletionData: Get current token: 0.019299983978271484
Info 45   [18:32:08.812] getCompletionData: Is inside comment: 0.018299996852874756
Info 46   [18:32:08.812] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 47   [18:32:08.813] getCompletionData: Get current token: 0.005299985408782959
Info 48   [18:32:08.813] getCompletionData: Is inside comment: 0.01269996166229248
Info 49   [18:32:08.813] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 50   [18:32:08.814] getCompletionData: Get current token: 0.0045999884605407715
Info 51   [18:32:08.814] getCompletionData: Is inside comment: 0.01789999008178711
Info 52   [18:32:08.814] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 53   [18:32:08.904] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 54   [18:32:08.908] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 3.8927000164985657ms
Info 55   [18:32:08.908] Different program with same set of files:: structureIsReused:: 2
Info 56   [18:32:08.911] getCompletionData: Get current token: 0.010299980640411377
Info 57   [18:32:08.911] getCompletionData: Is inside comment: 0.014599978923797607
Info 58   [18:32:08.911] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 59   [18:32:08.927] getCompletionData: Get current token: 0.0054000020027160645
Info 60   [18:32:08.927] getCompletionData: Is inside comment: 0.014499962329864502
Info 61   [18:32:08.927] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 62   [18:32:08.928] getCompletionData: Get current token: 0.004700005054473877
Info 63   [18:32:08.928] getCompletionData: Is inside comment: 0.011900007724761963
Info 64   [18:32:08.928] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 65   [18:32:08.961] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [18:32:08.966] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 5.139200031757355ms
Info 67   [18:32:08.966] Different program with same set of files:: structureIsReused:: 2
Info 68   [18:32:08.967] getCompletionData: Get current token: 0.0065000057220458984
Info 69   [18:32:08.967] getCompletionData: Is inside comment: 0.011400043964385986
Info 70   [18:32:08.967] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 71   [18:32:08.984] getCompletionData: Get current token: 0.0055999755859375
Info 72   [18:32:08.984] getCompletionData: Is inside comment: 0.011900007724761963
Info 73   [18:32:08.984] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 74   [18:32:08.985] getCompletionData: Get current token: 0.004700005054473877
Info 75   [18:32:08.985] getCompletionData: Is inside comment: 0.011500000953674316
Info 76   [18:32:08.985] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 77   [18:32:09.014] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 78   [18:32:09.017] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 3.2500999569892883ms
Info 79   [18:32:09.017] Different program with same set of files:: structureIsReused:: 2
Info 80   [18:32:09.018] getCompletionData: Get current token: 0.005299985408782959
Info 81   [18:32:09.018] getCompletionData: Is inside comment: 0.011399984359741211
Info 82   [18:32:09.018] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 83   [18:32:09.019] getCompletionData: Get current token: 0.005200028419494629
Info 84   [18:32:09.019] getCompletionData: Is inside comment: 0.011599957942962646
Info 85   [18:32:09.019] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 86   [18:32:09.161] getCompletionData: Get current token: 0.0054000020027160645
Info 87   [18:32:09.161] getCompletionData: Is inside comment: 0.012499988079071045
Info 88   [18:32:09.161] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 89   [18:32:10.000] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 90   [18:32:10.005] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 5.010600030422211ms
Info 91   [18:32:10.005] Different program with same set of files:: structureIsReused:: 2
Info 92   [18:32:10.005] getCompletionData: Get current token: 0.0065999627113342285
Info 93   [18:32:10.005] getCompletionData: Is inside comment: 0.011799991130828857
Info 94   [18:32:10.005] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 95   [18:32:10.007] getCompletionData: Get current token: 0.004800021648406982
Info 96   [18:32:10.007] getCompletionData: Is inside comment: 0.01130002737045288
Info 97   [18:32:10.007] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 98   [18:32:10.008] getCompletionData: Get current token: 0.0051999688148498535
Info 99   [18:32:10.008] getCompletionData: Is inside comment: 0.011599957942962646
Info 100  [18:32:10.008] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 101  [18:32:10.067] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 102  [18:32:10.071] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 3.796500027179718ms
Info 103  [18:32:10.071] Different program with same set of files:: structureIsReused:: 2
Info 104  [18:32:10.071] getCompletionData: Get current token: 0.006099998950958252
Info 105  [18:32:10.071] getCompletionData: Is inside comment: 0.01260000467300415
Info 106  [18:32:10.071] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 107  [18:32:10.089] getCompletionData: Get current token: 0.005399942398071289
Info 108  [18:32:10.089] getCompletionData: Is inside comment: 0.011900007724761963
Info 109  [18:32:10.089] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 110  [18:32:10.090] getCompletionData: Get current token: 0.003899991512298584
Info 111  [18:32:10.090] getCompletionData: Is inside comment: 0.011500000953674316
Info 112  [18:32:10.090] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 113  [18:32:10.137] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 114  [18:32:10.141] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 3.1294999718666077ms
Info 115  [18:32:10.141] Different program with same set of files:: structureIsReused:: 2
Info 116  [18:32:10.141] getCompletionData: Get current token: 0.004999995231628418
Info 117  [18:32:10.141] getCompletionData: Is inside comment: 0.011200010776519775
Info 118  [18:32:10.141] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 119  [18:32:10.142] getCompletionData: Get current token: 0.003300011157989502
Info 120  [18:32:10.142] getCompletionData: Is inside comment: 0.011400043964385986
Info 121  [18:32:10.142] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 122  [18:32:10.157] getCompletionData: Get current token: 0.0034999847412109375
Info 123  [18:32:10.157] getCompletionData: Is inside comment: 0.01109999418258667
Info 124  [18:32:10.157] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 125  [18:32:10.193] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 126  [18:32:10.196] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 2.6872000098228455ms
Info 127  [18:32:10.196] Different program with same set of files:: structureIsReused:: 2
Info 128  [18:32:10.196] getCompletionData: Get current token: 0.0031999945640563965
Info 129  [18:32:10.196] getCompletionData: Is inside comment: 0.010399997234344482
Info 130  [18:32:10.196] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 131  [18:32:10.197] getCompletionData: Get current token: 0.003099977970123291
Info 132  [18:32:10.197] getCompletionData: Is inside comment: 0.011100053787231445
Info 133  [18:32:10.197] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 134  [18:32:10.198] getCompletionData: Get current token: 0.0031000375747680664
Info 135  [18:32:10.198] getCompletionData: Is inside comment: 0.011900007724761963
Info 136  [18:32:10.198] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 137  [18:32:10.253] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 138  [18:32:10.256] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 2.9967000484466553ms
Info 139  [18:32:10.256] Different program with same set of files:: structureIsReused:: 2
Info 140  [18:32:10.256] getCompletionData: Get current token: 0.0037000179290771484
Info 141  [18:32:10.256] getCompletionData: Is inside comment: 0.011600017547607422
Info 142  [18:32:10.256] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 143  [18:32:10.257] getCompletionData: Get current token: 0.003099977970123291
Info 144  [18:32:10.257] getCompletionData: Is inside comment: 0.010999977588653564
Info 145  [18:32:10.257] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 146  [18:32:10.272] getCompletionData: Get current token: 0.003099977970123291
Info 147  [18:32:10.272] getCompletionData: Is inside comment: 0.010999977588653564
Info 148  [18:32:10.272] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 149  [18:32:10.345] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 150  [18:32:10.348] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 3.084399998188019ms
Info 151  [18:32:10.348] Different program with same set of files:: structureIsReused:: 2
Info 152  [18:32:10.348] getCompletionData: Get current token: 0.003099977970123291
Info 153  [18:32:10.348] getCompletionData: Is inside comment: 0.010700047016143799
Info 154  [18:32:10.348] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 155  [18:32:10.349] getCompletionData: Get current token: 0.0031999945640563965
Info 156  [18:32:10.349] getCompletionData: Is inside comment: 0.010900020599365234
Info 157  [18:32:10.349] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 158  [18:32:10.365] getCompletionData: Get current token: 0.0039000511169433594
Info 159  [18:32:10.365] getCompletionData: Is inside comment: 0.012899994850158691
Info 160  [18:32:10.365] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 161  [18:32:10.909] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 162  [18:32:10.914] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 4.657800018787384ms
Info 163  [18:32:10.914] Different program with same set of files:: structureIsReused:: 2
Info 164  [18:32:10.914] getCompletionData: Get current token: 0.0034999847412109375
Info 165  [18:32:10.914] getCompletionData: Is inside comment: 0.012800037860870361
Info 166  [18:32:10.914] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 167  [18:32:10.916] getCompletionData: Get current token: 0.007400035858154297
Info 168  [18:32:10.916] getCompletionData: Is inside comment: 0.013000011444091797
Info 169  [18:32:10.916] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 170  [18:32:10.917] getCompletionData: Get current token: 0.004199981689453125
Info 171  [18:32:10.917] getCompletionData: Is inside comment: 0.01510000228881836
Info 172  [18:32:10.917] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 173  [18:32:10.981] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 174  [18:32:10.984] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 3.3549999594688416ms
Info 175  [18:32:10.984] Different program with same set of files:: structureIsReused:: 2
Info 176  [18:32:10.984] getCompletionData: Get current token: 0.0034000277519226074
Info 177  [18:32:10.984] getCompletionData: Is inside comment: 0.010699987411499023
Info 178  [18:32:10.985] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 179  [18:32:10.986] getCompletionData: Get current token: 0.0031000375747680664
Info 180  [18:32:10.986] getCompletionData: Is inside comment: 0.010699987411499023
Info 181  [18:32:10.986] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 182  [18:32:11.002] getCompletionData: Get current token: 0.005099952220916748
Info 183  [18:32:11.002] getCompletionData: Is inside comment: 0.013599991798400879
Info 184  [18:32:11.002] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 185  [18:32:11.030] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 186  [18:32:11.033] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 2.8030999898910522ms
Info 187  [18:32:11.033] Different program with same set of files:: structureIsReused:: 2
Info 188  [18:32:11.033] getCompletionData: Get current token: 0.003099977970123291
Info 189  [18:32:11.033] getCompletionData: Is inside comment: 0.011900007724761963
Info 190  [18:32:11.033] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 191  [18:32:11.035] getCompletionData: Get current token: 0.003300011157989502
Info 192  [18:32:11.035] getCompletionData: Is inside comment: 0.009999990463256836
Info 193  [18:32:11.035] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 194  [18:32:11.049] getCompletionData: Get current token: 0.003800034523010254
Info 195  [18:32:11.049] getCompletionData: Is inside comment: 0.010300040245056152
Info 196  [18:32:11.049] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 197  [18:32:11.093] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 198  [18:32:11.096] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 2.866800010204315ms
Info 199  [18:32:11.096] Different program with same set of files:: structureIsReused:: 2
Info 200  [18:32:11.096] getCompletionData: Get current token: 0.004499971866607666
Info 201  [18:32:11.096] getCompletionData: Is inside comment: 0.013300001621246338
Info 202  [18:32:11.096] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 203  [18:32:11.098] getCompletionData: Get current token: 0.0031999945640563965
Info 204  [18:32:11.098] getCompletionData: Is inside comment: 0.010599970817565918
Info 205  [18:32:11.098] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 206  [18:32:11.112] getCompletionData: Get current token: 0.0037000179290771484
Info 207  [18:32:11.112] getCompletionData: Is inside comment: 0.01109999418258667
Info 208  [18:32:11.112] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 209  [18:32:11.162] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 210  [18:32:11.165] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 2.8528000116348267ms
Info 211  [18:32:11.165] Different program with same set of files:: structureIsReused:: 2
Info 212  [18:32:11.166] getCompletionData: Get current token: 0.003099977970123291
Info 213  [18:32:11.166] getCompletionData: Is inside comment: 0.010800004005432129
Info 214  [18:32:11.166] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 215  [18:32:11.167] getCompletionData: Get current token: 0.003899991512298584
Info 216  [18:32:11.167] getCompletionData: Is inside comment: 0.01380002498626709
Info 217  [18:32:11.167] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 218  [18:32:11.183] getCompletionData: Get current token: 0.0037999749183654785
Info 219  [18:32:11.183] getCompletionData: Is inside comment: 0.011600017547607422
Info 220  [18:32:11.183] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 221  [18:32:11.212] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 222  [18:32:11.217] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 4.937099993228912ms
Info 223  [18:32:11.217] Different program with same set of files:: structureIsReused:: 2
Info 224  [18:32:11.217] getCompletionData: Get current token: 0.006300032138824463
Info 225  [18:32:11.217] getCompletionData: Is inside comment: 0.0163000226020813
Info 226  [18:32:11.217] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 227  [18:32:11.233] getCompletionData: Get current token: 0.0042999982833862305
Info 228  [18:32:11.233] getCompletionData: Is inside comment: 0.011200010776519775
Info 229  [18:32:11.233] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 230  [18:32:11.235] getCompletionData: Get current token: 0.0037999749183654785
Info 231  [18:32:11.235] getCompletionData: Is inside comment: 0.011399984359741211
Info 232  [18:32:11.235] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 233  [18:32:11.621] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 234  [18:32:11.623] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 2.4169999957084656ms
Info 235  [18:32:11.623] Different program with same set of files:: structureIsReused:: 2
